1589182416097,TRACE,ThreadA, No Local Variables are initialized for Method [_GTF
1589182416306,WARN,ThreadB,get Sinus Wave 0.9629702887498031
1589182416309,DEBUG,main, rcu: 
1589182416311,INFO,ThreadA, ACPI: Local APIC address 0xfee00000
1589182416316,TRACE,ThreadB, md/raid1:md1: active with 2 out of 2 mirrors
1589182416318,WARN,main,get Sinus Wave 0.9118676804680861
1589182416322,TRACE,ThreadA,get Sinus Wave 0.8947237340273352
1589182416324,ERROR,main," logitech-hidpp-device 0003:046D:4054.0006: input,hidraw5: USB HID v1.11 Mouse [Logitech Wireless Mouse"
1589182416326,TRACE,ThreadB, ACPI: Early table checksum verification disabled
1589182416329,TRACE,main, Bluetooth: BNEP socket layer initialized
1589182416331,TRACE,ThreadA, ACPI BIOS Error (bug): Could not resolve symbol [_SB.PCI0.SAT0.PRT4._GTF.DSSP
1589182416333,DEBUG,main, Console: switching to colour frame buffer device 210x65
1589182416335,TRACE,ThreadB, mei_me 0000:00:16.0: enabling device (0000 -> 0002)
1589182416337,FATAL,ThreadA,get Sinus Wave 0.8179340117971631
1589182416339,TRACE,main, pci 0000:00:17.0: reg 0x18: [io  0xf090-0xf097
1589182416342,WARN,ThreadB, raid6: sse2x1   gen() 11579 MB/s
1589182416344,TRACE,ThreadA, EISA bus registered
1589182416350,TRACE,ThreadB, sr 2:0:0:0: Attached scsi generic sg0 type 5
1589182416354,WARN,main,get Sinus Wave 0.7088106048532716
1589182416357,TRACE,main,get Sinus Wave 0.6873337595395592
1589182416358,INFO,ThreadA, PM: Registered nosave memory: [mem 0x00000000-0x00000fff
1589182416360,INFO,main,get Sinus Wave 0.6652369864823154
1589182416363,FATAL,ThreadB,   8 disabled
1589182416370,TRACE,ThreadA, snd_hda_codec_realtek hdaudioC0D0:    speaker_outs=0 (0x0/0x0/0x0/0x0/0x0)
1589182416373,WARN,ThreadB, hub 2-0:1.0: 8 ports detected
1589182416375,TRACE,main, pci 0000:00:02.0: [8086:1912
1589182416378,TRACE,ThreadA, vesafb: scrolling: redraw
1589182416380,WARN,ThreadB, pnp: PnP ACPI: found 11 devices
1589182416382,TRACE,main, ACPI: Local APIC address 0xfee00000
1589182416383,DEBUG,ThreadA, pci 0000:00:00.0: [8086:191f
1589182416385,TRACE,ThreadB,get Sinus Wave 0.45983659901559215
1589182416387,TRACE,main, EXT4-fs (md1): re-mounted. Opts: errors=remount-ro
1589182416389,TRACE,ThreadA,get Sinus Wave 0.42395900639611167
1589182416391,TRACE,ThreadB, pci_bus 0000:00: resource 6 [mem 0x000a0000-0x000bffff window
1589182416393,TRACE,main,get Sinus Wave 0.38740144503088375
1589182416395,TRACE,ThreadA, last_pfn = 0x8b3ff max_arch_pfn = 0x400000000
1589182416396,TRACE,ThreadB,get Sinus Wave 0.3595750812091933
1589182416398,DEBUG,ThreadA,get Sinus Wave 0.3502258821758152
1589182416399,TRACE,main, ata4: SATA link down (SStatus 4 SControl 300)
1589182416401,DEBUG,ThreadA, rcu: RCU calculated value of scheduler-enlistment delay is 25 jiffies.
1589182416403,INFO,ThreadB, 
1589182416405,DEBUG,main,get Sinus Wave 0.2742525117629312
1589182416407,TRACE,ThreadB, EXT4-fs (md1): re-mounted. Opts: errors=remount-ro
1589182416409,TRACE,ThreadA, ACPI BIOS Error (bug): Could not resolve symbol [_SB.PCI0.SAT0.PRT2._GTF.DSSP
1589182416412,WARN,main, system 00:07: [mem 0xfed20000-0xfed3ffff
1589182416413,TRACE,ThreadA,get Sinus Wave 0.19652486453456042
1589182416415,ERROR,ThreadB,get Sinus Wave 0.17687644080706447
1589182416416,DEBUG,main, e1000e 0000:00:1f.6 eth0: (PCI Express:2.5GT/s:Width x1) 80:ee:73:d4:7a:44
1589182416419,TRACE,ThreadB, DMAR: RMRR base: 0x0000008b800000 end: 0x0000008fffffff
1589182416423,TRACE,ThreadA," smp: Brought up 1 node, 4 CPUs"
1589182416426,TRACE,ThreadB, ACPI: UEFI 0x000000008AC82C68 000042 (v01 INTEL  EDK2     00000002      01000013)
1589182416430,DEBUG,ThreadB, IOAPIC[0
1589182416433,INFO,ThreadB, rcu: RCU calculated value of scheduler-enlistment delay is 25 jiffies.
1589182416435,INFO,ThreadB, hub 1-0:1.0: USB hub found
1589182416438,TRACE,ThreadB," UDP-Lite hash table entries: 8192 (order: 6, 262144 bytes, linear)"
1589182416443,TRACE,main, DMAR-IR: IOAPIC id 2 under DRHD base  0xfed91000 IOMMU 1
1589182416444,INFO,ThreadA, smpboot: Max logical packages: 1
1589182416446,ERROR,main," BRK [0x16ee07000, 0x16ee07fff"
1589182416448,DEBUG,ThreadB, system 00:03: [io  0x0680-0x069f
1589182416449,INFO,main,   node   0: [mem 0x000000008a7d6000-0x000000008a953fff
1589182416451,TRACE,ThreadA, PM: Registered nosave memory: [mem 0x0009d000-0x0009ffff
1589182416452,TRACE,main," hid-generic 0003:046D:C534.0002: input,hidraw1: USB HID v1.11 Keyboard [Logitech USB Receiver"
1589182416454,TRACE,ThreadB, i915 0000:00:02.0: vgaarb: deactivate vga console
1589182416455,TRACE,main,get Sinus Wave -0.22036404583290448
1589182416457,TRACE,ThreadA,get Sinus Wave -0.2398274723437575
1589182416459,TRACE,ThreadB, PCI: MMCONFIG for domain 0000 [bus 00-ff
1589182416460,TRACE,main, Calgary: Unable to locate Rio Grande table in EBDA - bailing!
1589182416462,WARN,ThreadA,get Sinus Wave -0.2880493998101387
1589182416464,INFO,main," Calibrating delay loop (skipped), value calculated using timer frequency.. 6399.96 BogoMIPS (lpj=12799920)"
1589182416466,INFO,ThreadB,get Sinus Wave -0.3261124617007686
1589182416467,TRACE,main,get Sinus Wave -0.3355495240740961
1589182416469,WARN,ThreadA,get Sinus Wave -0.35432203980852667
1589182416470,WARN,ThreadB, PM: Registered nosave memory: [mem 0xfe011000-0xfebfffff
